Year_Month,Card_type,Travel_Mode,Trip
Jul-2016,Adult,Bus,13146432.0
Jul-2016,Child/Youth,Bus,1079640.0
Jul-2016,Concession,Bus,1845322.0
Jul-2016,Employee,Bus,64989.0
Jul-2016,Free Travel,Bus,25228.0
Jul-2016,School Student,Bus,1297240.0
Jul-2016,Senior/Pensioner,Bus,3739658.0
Jul-2016,Adult,Ferry,861272.0
Jul-2016,Child/Youth,Ferry,108450.0
Jul-2016,Concession,Ferry,71362.0
Jul-2016,Employee,Ferry,5251.0
Jul-2016,Free Travel,Ferry,1317.0
Jul-2016,School Student,Ferry,1295.0
Jul-2016,Senior/Pensioner,Ferry,152188.0
Jul-2016,Sgl Trip Ferry Adult,Ferry,10030.0
Jul-2016,Sgl Trip Ferry Child/Youth,Ferry,2547.0
Jul-2016,Adult,Light Rail,595732.0
Jul-2016,Child/Youth,Light Rail,48667.0
Jul-2016,Concession,Light Rail,27107.0
Jul-2016,Employee,Light Rail,2.0
Jul-2016,Free Travel,Light Rail,693.0
Jul-2016,LR-MST,Light Rail,24913.0
Jul-2016,School Student,Light Rail,994.0
Jul-2016,Senior/Pensioner,Light Rail,128228.0
Jul-2016,Sgl Trip LR Adult,Light Rail,1094.0
Jul-2016,Sgl Trip LR Child/Youth,Light Rail,302.0
Jul-2016,Adult,Train,22145198.0
Jul-2016,Child/Youth,Train,1107160.0
Jul-2016,Concession,Train,2105013.0
Jul-2016,Employee,Train,264074.0
Jul-2016,Free Travel,Train,24395.0
Jul-2016,School Student,Train,511309.0
Jul-2016,Senior/Pensioner,Train,2567262.0
Jul-2016,Sgl Trip Rail Adult,Train,75274.0
Jul-2016,Sgl Trip Rail Child/Youth,Train,19564.0
Aug-2016,Adult,Bus,14080864.0
Aug-2016,Adult Single Bus Trip 1,Bus,213548.0
Aug-2016,Adult Single Bus Trip 2,Bus,149890.0
Aug-2016,Adult Single Bus Trip 3,Bus,60625.0
Aug-2016,Child/Youth,Bus,1034488.0
Aug-2016,Child/Youth Single Bus Trip 1,Bus,85540.0
Aug-2016,Child/Youth Single Bus Trip 2,Bus,52781.0
Aug-2016,Child/Youth Single Bus Trip 3,Bus,15864.0
Aug-2016,Concession,Bus,2168046.0
Aug-2016,Employee,Bus,73112.0
Aug-2016,Free Travel,Bus,32202.0
Aug-2016,School Student,Bus,3135595.0
Aug-2016,Senior/Pensioner,Bus,4108217.0
Aug-2016,Adult,Ferry,773097.0
Aug-2016,Child/Youth,Ferry,81256.0
Aug-2016,Concession,Ferry,25177.0
Aug-2016,Employee,Ferry,4780.0
Aug-2016,Free Travel,Ferry,1728.0
Aug-2016,School Student,Ferry,2701.0
