Date,Bus,Ferry,Light Rail,Metro,Train,bus,ferry,light rail,metro,train,unallocated,Total,Month_Num,Quarter,Year,Total_Lag_1M,Total_Lag_2M,Rolling_Mean_3M,Demand_Surge_Class
2016-07-01,21198509.0,1213712.0,827732.0,1479937.0,28819249.0,,,,,,,53539139.0,7,Q3,2016,53539139.0,53539139.0,53539139.0,0
2016-08-01,25210772.0,1095055.0,840800.0,1479937.0,32393980.0,,,,,,,61020544.0,8,Q3,2016,53539139.0,53539139.0,53539139.0,1
2016-09-01,23011540.0,1143718.0,758073.0,1479937.0,30648352.0,,,,,,,57041620.0,9,Q3,2016,61020544.0,53539139.0,57279841.5,1
2016-10-01,23095302.0,1281152.0,776960.0,1479937.0,30106833.0,,,,,,,56740184.0,10,Q4,2016,57041620.0,61020544.0,57200434.333333336,1
2016-11-01,24422383.0,1302501.0,705265.0,1479937.0,31318279.0,,,,,,,59228365.0,11,Q4,2016,56740184.0,57041620.0,58267449.333333336,1
2016-12-01,20880865.0,1506986.0,726521.0,1479937.0,28189584.0,,,,,,,52783893.0,12,Q4,2016,59228365.0,56740184.0,57670056.333333336,0
2017-01-01,19550895.0,1738083.0,428998.0,1479937.0,26735422.0,,,,,,,49933335.0,1,Q1,2017,52783893.0,59228365.0,56250814.0,0
2017-02-01,22534683.0,1186315.0,740308.0,1479937.0,28767036.0,,,,,,,54708279.0,2,Q1,2017,49933335.0,52783893.0,53981864.333333336,1
2017-03-01,26811115.0,1216242.0,875062.0,1479937.0,34566385.0,,,,,,,64948741.0,3,Q1,2017,54708279.0,49933335.0,52475169.0,1
2017-04-01,20723045.0,1408468.0,815237.0,1479937.0,28745729.0,,,,,,,53172416.0,4,Q2,2017,64948741.0,54708279.0,56530118.333333336,0
2017-05-01,26075384.0,1149830.0,833483.0,1479937.0,34863010.0,,,,,,,64401644.0,5,Q2,2017,53172416.0,64948741.0,57609812.0,1
2017-06-01,22537074.0,1156147.0,848006.0,1479937.0,31706870.0,,,,,,,57728034.0,6,Q2,2017,64401644.0,53172416.0,60840933.666666664,1
2017-07-01,22201972.0,1308653.0,835146.0,1479937.0,31070534.0,,,,,,,56896242.0,7,Q3,2017,57728034.0,64401644.0,58434031.333333336,1
2017-08-01,25556220.0,1099455.0,780690.0,1479937.0,34285607.0,,,,,,,63201909.0,8,Q3,2017,56896242.0,57728034.0,59675306.666666664,1
2017-09-01,23158761.0,1197661.0,764215.0,1479937.0,32067318.0,,,,,,,58667892.0,9,Q3,2017,63201909.0,56896242.0,59275395.0,1
2017-10-01,24234511.0,1303497.0,852461.0,1479937.0,32910234.0,,,,,,,60780640.0,10,Q4,2017,58667892.0,63201909.0,59588681.0,1
